tweet_id,favorite_count,retweet_count,source,retweeted_status,url
685315239903100929,3470,1140,Twitter for iPhone,Tweet,https://t.co/QIe7oxkSNo
685307451701334016,2147,463,Twitter for iPhone,Tweet,https://t.co/rwW7z1JAOF
685268753634967552,3210,1265,Twitter for iPhone,Tweet,https://t.co/vzCl35fKlZ
685198997565345792,2419,698,Twitter for iPhone,Tweet,https://t.co/530Yfbl5xo
685169283572338688,4239,1495,Twitter for iPhone,Tweet,https://t.co/UfGkB9Wrud
684969860808454144,2449,397,Twitter for iPhone,Tweet,u
684959798585110529,7044,3299,Twitter for iPhone,Tweet,https://t.co/85q7xlplsJ
684940049151070208,3329,1095,Twitter for iPhone,Tweet,https://t.co/zNeLxJeAoL
684926975086034944,3621,489,Twitter for iPhone,Tweet,https://t.co/PEXHuvSVD4
684914660081053696,3639,1545,Twitter for iPhone,Tweet,https://t.co/AMDsllQs7a
684902183876321280,1949,558,Twitter for iPhone,Tweet,https://t.co/JVvIrUmTkR
684880619965411328,2178,866,Twitter for iPhone,Tweet,https://t.co/DnNweb5eTO
684830982659280897,36278,22760,Vine - Make a Scene,Tweet,https://t.co/e3LPMAHj7p
684800227459624960,2821,1054,Twitter for iPhone,Tweet,https://t.co/J3Ld4fRbSy
684594889858887680,9235,3713,Twitter for iPhone,Tweet,https://t.co/uhQNehTpIu
684588130326986752,4252,1481,Vine - Make a Scene,Tweet,https://t.co/2sHwD7HztL
684567543613382656,3121,1295,Twitter for iPhone,Tweet,https://t.co/b8XW69gSaU
684538444857667585,2739,1005,Twitter for iPhone,Tweet,https://t.co/IKoRK4yoxV
684481074559381504,4025,1230,Twitter for iPhone,Tweet,https://t.co/nBtDeZ4yAb
684460069371654144,2054,584,Twitter for iPhone,Tweet,https://t.co/bicyOV6lju
684241637099323392,8440,3494,Twitter for iPhone,Tweet,https://t.co/feiPiq7z94
684225744407494656,1280,222,Twitter for iPhone,Tweet,https://t.co/kRK51Y5ac3
684222868335505415,3964,1447,Twitter for iPhone,Tweet,https://t.co/1zfnTJLt55
684200372118904832,2241,1077,Twitter for iPhone,Tweet,https://t.co/jkCb25OWfh
684195085588783105,1984,546,Twitter for iPhone,Tweet,https://t.co/cUxGtnBfc2
684188786104872960,3605,1239,Twitter for iPhone,Tweet,https://t.co/e0gbl9VFpA
684177701129875456,2084,707,Twitter for iPhone,Tweet,https://t.co/myUUwqJIs7
684147889187209216,3082,1570,Vine - Make a Scene,Tweet,https://t.co/WYiFzuX7D4
684122891630342144,2067,498,Twitter for iPhone,Tweet,https://t.co/k32mSlRx0j
684097758874210310,4260,1513,Twitter for iPhone,Tweet,https://t.co/Fz6iZWlk8C
683857920510050305,3933,1175,Twitter for iPhone,Tweet,https://t.co/LoKVvc1xAW
683852578183077888,1995,370,Twitter for iPhone,Tweet,https://t.co/Yei0HzS3JN
683849932751646720,2711,1035,Twitter for iPhone,Tweet,https://t.co/omln4LOy1x
683834909291606017,2715,1167,Twitter for iPhone,Tweet,https://t.co/O1E4AtHVxO
683828599284170753,2910,1118,Twitter for iPhone,Tweet,https://t.co/Eeh3yfdglS
683773439333797890,3461,1427,Twitter for iPhone,Tweet,https://t.co/qipZbshNsR
683742671509258241,6723,3490,Twitter for iPhone,Tweet,https://t.co/eoL1bCpWCg
683515932363329536,7613,3074,Vine - Make a Scene,Tweet,https://t.co/XQ1tRUmO3z
683498322573824003,3280,1014,Twitter for iPhone,Tweet,https://t.co/ObWcOEekt0
683481228088049664,2735,1051,Twitter for iPhone,Tweet,https://t.co/H7NZFumpKq
683462770029932544,2517,708,Twitter for iPhone,Tweet,https://t.co/qFD8217fUT
683449695444799489,4046,1697,Twitter for iPhone,Tweet,https://t.co/1Z7Q6svWpe
683391852557561860,7886,2509,Twitter for iPhone,Tweet,https://t.co/YHXrdUTHd6
683357973142474752,3037,979,Twitter for iPhone,Tweet,https://t.co/g4G5tvfTVd
683142553609318400,2994,1095,Twitter for iPhone,Tweet,https://t.co/hhIA3coiAJ
683111407806746624,3514,961,Twitter for iPhone,Tweet,https://t.co/h3X0jK8MVM
683098815881154561,2242,693,Twitter for iPhone,Tweet,https://t.co/UOPdXmUz4H
683078886620553216,2056,590,Twitter for iPhone,Tweet,https://t.co/ny8mnXhGOW
683030066213818368,2228,767,Twitter for iPhone,Tweet,https://t.co/h3ScYuz77J
682962037429899265,38225,17572,Twitter for iPhone,Tweet,https://t.co/7EsP8LmSp5
682808988178739200,1842,189,Twitter for iPhone,Tweet,e
682788441537560576,2560,1176,Twitter for iPhone,Tweet,https://t.co/ZSdEj59FGf
682750546109968385,1579,461,Twitter for iPhone,Tweet,https://t.co/85X1GHohFr
682697186228989953,1363,379,Twitter for iPhone,Tweet,https://t.co/Ny4iM6FDtz
682662431982772225,3159,1140,Twitter for iPhone,Tweet,https://t.co/WgQTIQ93BB
682638830361513985,2132,637,Twitter for iPhone,Tweet,https://t.co/viwWHZgX8j
682429480204398592,3554,1225,Twitter for iPhone,Tweet,https://t.co/5aFw7SWyxU
682406705142087680,7852,1863,Twitter for iPhone,Tweet,https://t.co/J9DXBFoAQe
682393905736888321,2313,717,Twitter for iPhone,Tweet,https://t.co/BA5AV5dx6Y
682389078323662849,1721,493,Twitter for iPhone,Tweet,https://t.co/vBeiQq6SaZ
682303737705140231,3176,1059,Twitter for iPhone,Tweet,https://t.co/Nm8Spw4HbD
682259524040966145,4311,1276,Twitter for iPhone,Tweet,https://t.co/i5TeG0KYcW
682242692827447297,3374,1244,Twitter for iPhone,Tweet,https://t.co/f8dVgDYDFf
682088079302213632,18917,10415,Vine - Make a Scene,Tweet,https://t.co/4Kn9GEHXiE
682059653698686977,5128,1781,Twitter for iPhone,Tweet,https://t.co/IriJlVZ6m4
682047327939461121,3312,1012,Twitter for iPhone,Tweet,https://t.co/fZc7MixeeT
682032003584274432,6813,2122,Twitter for iPhone,Tweet,https://t.co/gPmJHmtgak
682003177596559360,3257,1618,Twitter for iPhone,Tweet,https://t.co/Hy9La4xNX3
681981167097122816,2898,1088,Twitter for iPhone,Tweet,https://t.co/VwdIk0OwVx
681891461017812993,2554,864,Twitter for iPhone,Tweet,https://t.co/9KThv6z8u5
681694085539872773,13232,4269,Twitter for iPhone,Tweet,https://t.co/TONMhRoQh7
681679526984871937,1830,473,Twitter for iPhone,Tweet,https://t.co/3uCcDEJLXs
